\example of an IPAC table for BackgroundModel
\obsloc is 0 for Earth-Sun L2, 3 for Earth 
| ra       | dec      | wavelength |  year  |  day   | obsloc | ido_view |
| double   | double   | double     |  char  |  char  |  char  |  char    |
| deg      | deg      | microns    |        |        |        |          |
  0.684710  -31.268749   1.4        2027      1       0         0  
  0.684710  -31.268749   1.4        2027      31      0         0     
  0.684710  -31.268749   1.4        2027      62      0         0      
  0.684710  -31.268749   1.4        2027      92      0         0      
  0.684710  -31.268749   1.4        2027      122     0         0  
  0.684710  -31.268749   1.4        2027      153     0         0     
  0.684710  -31.268749   1.4        2027      183     0         0      
  0.684710  -31.268749   1.4        2027      214     0         0      
  0.684710  -31.268749   1.4        2027      244     0         0      
  0.684710  -31.268749   1.4        2027      275     0         0      
  0.684710  -31.268749   1.4        2027      305     0         0     
  0.684710  -31.268749   1.4        2027      335     0         0  
  60.84710  -31.268749   1.4        2027      1       0         0  
  60.84710  -31.268749   1.4        2027      31      0         0     
  60.84710  -31.268749   1.4        2027      62      0         0      
  60.84710  -31.268749   1.4        2027      92      0         0      
  60.84710  -31.268749   1.4        2027      122     0         0  
  60.84710  -31.268749   1.4        2027      153     0         0     
  60.84710  -31.268749   1.4        2027      183     0         0      
  60.84710  -31.268749   1.4        2027      214     0         0      
  60.84710  -31.268749   1.4        2027      244     0         0      
  60.84710  -31.268749   1.4        2027      275     0         0      
  60.84710  -31.268749   1.4        2027      305     0         0     
  60.84710  -31.268749   1.4        2027      335     0         0
  60.84710  -61.268749   1.4        2027      1       0         0  
  60.84710  -61.268749   1.4        2027      31      0         0     
  60.84710  -61.268749   1.4        2027      62      0         0      
  60.84710  -61.268749   1.4        2027      92      0         0      
  60.84710  -61.268749   1.4        2027      122     0         0  
  60.84710  -61.268749   1.4        2027      153     0         0     
  60.84710  -61.268749   1.4        2027      183     0         0      
  60.84710  -61.268749   1.4        2027      214     0         0      
  60.84710  -61.268749   1.4        2027      244     0         0      
  60.84710  -61.268749   1.4        2027      275     0         0      
  60.84710  -61.268749   1.4        2027      305     0         0     
  60.84710  -61.268749   1.4        2027      335     0         0
  30.84710  -1.268749   1.4        2027      1       0         0  
  30.84710  -1.268749   1.4        2027      31      0         0     
  30.84710  -1.268749   1.4        2027      62      0         0      
  30.84710  -1.268749   1.4        2027      92      0         0      
  30.84710  -1.268749   1.4        2027      122     0         0  
  30.84710  -1.268749   1.4        2027      153     0         0     
  30.84710  -1.268749   1.4        2027      183     0         0      
  30.84710  -1.268749   1.4        2027      214     0         0      
  30.84710  -1.268749   1.4        2027      244     0         0      
  30.84710  -1.268749   1.4        2027      275     0         0      
  30.84710  -1.268749   1.4        2027      305     0         0     
  30.84710  -1.268749   1.4        2027      335     0         0
